query_id,query,search_rank,docid,reranking_group
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,0,thairu,3.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,1,siddarth-chandrasekaran-86504a20,4.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,3,ryanlopopolo,1.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,4,ebroder,3.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,5,srwoodrow,3.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,8,antifuchs,3.0
52143,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,9,andybrody,4.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,0,khoromskayad,4.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,2,xavier-iraal-0234164b,2.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,3,rita-vinokur-32b52083,3.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,5,shcheglovandrey,2.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,6,artemsedin,2.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,8,alexeydomakhin,2.0
52156,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,9,ryanroccio,2.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,0,lei-liu-a00a9363,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,1,krithika-swaminathan-920a7713,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,2,rohithkrishnag,3.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,3,pengfeiren,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,4,premavn,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,5,bishwamoy,3.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,6,yifanyang0814,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,7,xiufeng-song-hiring-4b306341,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,8,chasekunz,4.0
52150,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,9,kvarada,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",0,travis-johnson77,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",2,amorgans,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",3,sid-mikhail,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",4,sid-mikhail-47a1a5268,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",5,therealmattdavis,3.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",6,arthurmeyerovich,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",7,evan-j-a3207a196,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",8,nyezhnyk,4.0
52164,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",9,kashifrzafar,3.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",0,carolina-gutierrez-93924756,4.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",1,jason-huang-401116108,3.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",2,blakecain,2.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",3,sean-hauser-107ab1a4,4.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",4,caleyrittman,4.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",5,kate-scott-52035116a,4.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",6,peterloddengaard,2.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",7,bethany-waldo-77614092,3.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",8,zack-dimaggio,2.0
52191,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",9,tina-you,3.0
52184,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,0,alexander-kuskov-recruitment,4.0
52184,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,5,sean-o-sullivan-011972296,3.0
52184,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,7,dane-zink-761551124,1.0
52184,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,9,khadijah-ahmad-484692a5,1.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0,chaitanya-pedada-5896b1147,4.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,1,josephou,2.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,2,sahilprasad,
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,4,ali-khan-49075912b,3.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,5,mukulm03,3.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,6,martin-tse-3b2aa51a5,2.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,7,stevenschlansker,2.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,8,mattstrom,2.0
52183,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,9,keaton-subjeck,2.0
52146,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",2,deeptechvc,4.0
52146,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",3,kenspratlin,4.0
52146,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",5,sergiogurrieri,3.0
52146,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",9,barookhian,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,0,justin-brooks-735ba614,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,1,dale-synnes-ba603634,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,2,christ-fisk-0b04912a,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,3,tim-hutchison-272a054a,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,4,gstaley,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,5,joshua-snodgrass-a3a4184a,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,6,gary-stoneburner-a5815a2,2.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,7,jonathan-wright-18b07447,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,8,stacy-georgilas-captain-m-s-e-a119688,4.0
52144,engineers with security clearance from top engineering programs. Only show people from the U.S.,9,louis-pochet-6626ab45,4.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,0,aboubacar-toure93,2.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,2,josecapo,3.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,3,capjuancode,3.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,4,heyrichie,2.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,5,rubydeveloperadam,1.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,6,jordanbyron,2.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,7,manfrin,2.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,8,drew-c,2.0
52145,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,9,clareconstantine,2.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",0,vasiliy-jigalov,2.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",1,alexandrkovalyov,4.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",3,canerturkmen,1.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",4,ivan-katkov,2.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",5,aleksey-korshuk,4.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",6,kirillkliushkin,3.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",7,volodymyr8khoroz,1.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",8,0xraduan,3.0
52148,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",9,akaki-darbuashvili,1.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,0,tara-morgan-08598b6b,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,1,lisa-carmichael-a24a161b4,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,2,kinga-winter-093391148,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,3,april-campo-221b99274,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,4,bridget-siofaga-931735200,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,5,sherri-gillette-16418294,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,6,catherine-demchuk-2a9b0680,3.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,7,tiffanydeblasio-1980,3.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,8,hannah-miller-msw,4.0
52152,a revenue cycle management specialist who is familiar with startups. Only show people from the U.S.,9,laura-sandoval-b3b1b651,4.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,1,azibekyan,1.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,4,armenorujyan,3.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,5,gevorg-adamyan-b133ab24,4.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,6,khzrtian,4.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,7,patrickmalkassian,3.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,8,leo-de-venezia-556921110,2.0
52151,Armenian tech guys how want to make charity. Only show people from the U.S.,9,shahan-derbedrosian-258371198,2.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,0,applied-ai,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,1,ofer-hermoni,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,2,jiahao,3.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,3,vinmarshall,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,4,jennshin,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,5,nbaldasaro,2.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,6,carlos-afonso-w,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,7,saad-muhayyodin-maan-b725395a,4.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,8,pfaratin,2.0
52153,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,9,ramynoaman,3.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,0,dmoynihan,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,1,rashmi-garde-306027b,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,2,jenbmorgan,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,3,berryalex,2.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,4,joestrongone,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,5,nstevenlucas,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,6,dev-stahlkopf,2.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,7,gary-peterson-416441,4.0
52149,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,9,langly,3.0
52154,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",1,mikhail-makarov,4.0
52154,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",3,giorgi-kakulashvili-49a441131,1.0
52154,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",5,irina-kharitonova-46a371106,3.0
52154,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",8,ilia-laptev-705730158,3.0
52154,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",9,joshua-gray-65a99549,3.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,0,juliataylorcheek,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,1,viniciusvacanti,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,2,joshuamotta,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,3,patmccusker,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,4,xutony,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,5,isotowright,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,6,howardyeh,3.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,7,gyalif,2.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,8,carolyn-childers-55b2642,4.0
52157,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,9,thazhmon,2.0
52158,"Current position should be customer success specialist, not director or VP of customer success, with prior experience in CPAAS. Only show people from the U.S.",0,johnhartmann,3.0
