id,query,rank,source1,docid1,source2,docid2,url1,url2,winner,comment
303,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0.0,Pearch.AI,chaitanya-pedada-5896b1147,PeopleGPT,pernekhan,https://linkedin.com/in/chaitanya-pedada-5896b1147,https://linkedin.com/in/pernekhan,,
952,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,5.0,PeopleGPT,neerajpanse,Exa.AI,keerthirajn,https://linkedin.com/in/neerajpanse,https://linkedin.com/in/keerthirajn,,
969,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,2.0,Exa.AI,heath-attia,Pearch.AI,linhao-jin-52825aa8,https://linkedin.com/in/heath-attia,https://linkedin.com/in/linhao-jin-52825aa8,,
672,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,8.0,Exa.AI,ethan-zhou-0499951,LinkedIn,sagarmanglani,https://linkedin.com/in/ethan-zhou-0499951,https://linkedin.com/in/sagarmanglani,,
152,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,0.0,Exa.AI,ferasdev,Pearch.AI,paul-shved,https://linkedin.com/in/ferasdev,https://linkedin.com/in/paul-shved,,
657,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,3.0,Exa.AI,jack-brown-3plus1,Pearch.AI,vinmarshall,https://linkedin.com/in/jack-brown-3plus1,https://linkedin.com/in/vinmarshall,,
283,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,7.0,PeopleGPT,robertrosenberg,Exa.AI,vinmarshall,https://linkedin.com/in/robertrosenberg,https://linkedin.com/in/vinmarshall,,
571,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,6.0,Exa.AI,dhabrams,LinkedIn,ykiranmurty,https://linkedin.com/in/dhabrams,https://linkedin.com/in/ykiranmurty,,
37,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",8.0,LinkedIn,negri,PeopleGPT,davidnachum,https://linkedin.com/in/negri,https://linkedin.com/in/davidnachum,,
954,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",7.0,PeopleGPT,drtimlinnet,Exa.AI,marcsingerosage,https://linkedin.com/in/drtimlinnet,https://linkedin.com/in/marcsingerosage,,
864,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",8.0,Exa.AI,harryarcherman,LinkedIn,negri,https://linkedin.com/in/harryarcherman,https://linkedin.com/in/negri,,
17,Armenian tech guys how want to make charity. Only show people from the U.S.,9.0,LinkedIn,denys-kunyavski-05202019,PeopleGPT,sarkisarutiunian,https://linkedin.com/in/denys-kunyavski-05202019,https://linkedin.com/in/sarkisarutiunian,,
