id,Query,Candidate A,Candidate B,Winner,Comment
974,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",https://linkedin.com/in/charles-wong-46046826,https://linkedin.com/in/alievsky,A,More experince with tech related companies/ located in Boston 
986,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/chen-wei-christopher-hong-4b189162,https://linkedin.com/in/henrylu1,A,Has more on the job experience 
522,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/andyqi,https://linkedin.com/in/mattstrom,A,Has more backend experience 
570,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/jeffyip7,https://linkedin.com/in/bvaishnavi91,B,Has more backend experience 
54,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/stevenschlansker,https://linkedin.com/in/jlo1,B,Better experience 
292,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/vinodpgowda,https://linkedin.com/in/sean-schaffer,B,More years of experience 
346,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/devanshshri,https://linkedin.com/in/kevin-wang-b96499128,A,More years of experience 
737,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/manlio-barajas,https://linkedin.com/in/alvinzhu88,A,More vision engineering experience 
687,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/ankur-deka,https://linkedin.com/in/gerardmaggiolino,B,Has more vision experience and more years of experience with self driving cars
209,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/pavelsurmenok,https://linkedin.com/in/rreynoso8,A,Has more relevant experience 
319,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/applied-ai,https://linkedin.com/in/vijaydivi,B,Has more years/experience with AI/MI
277,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/azizlookman,https://linkedin.com/in/jiahao,A,More years of experience 
826,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/ramynoaman,https://linkedin.com/in/jacobwoodward,A,Has more experience overall 
998,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/isahan-k-a2a32031,https://linkedin.com/in/bidishasen13,B,More years of experience 
88,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/kevinhawz,https://linkedin.com/in/kruquet,A,More years of experience 
30,Amazon PPC Specialist in e-commerce sector in Boston,https://linkedin.com/in/gretchenmacon,https://linkedin.com/in/ana-carmela-agapay-385a00139,B,Has more experience 
76,Amazon PPC Specialist in e-commerce sector in Boston,https://linkedin.com/in/lynnelhillow,https://linkedin.com/in/dunnwilliam1,B,Has more experience 
136,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/patrickmalkassian,https://linkedin.com/in/jeronimomezzadra,B,Has more experience (Does not state if Armenian)
312,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/nick-de-lorie-43395099,https://linkedin.com/in/ellenpkelly,A,Not much tech experience 
70,Armenian tech guys how want to make charity. Only show people from the U.S.,https://linkedin.com/in/jeronimomezzadra,https://linkedin.com/in/rafayel,B,Has more experience 
548,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",https://linkedin.com/in/vincepaton,https://linkedin.com/in/ryan-scomo-837850249,A,Has more experience 
764,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,https://linkedin.com/in/paul-stein-7729469,https://linkedin.com/in/dyovanno,B,Has more experience 
66,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,https://linkedin.com/in/annika-spriggs,https://linkedin.com/in/bonita-harriston-leadership-coach,B,Has more experience in education
275,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,https://linkedin.com/in/suziezeldin,https://linkedin.com/in/elena-borysova-84ba119b,A,Has more experience 
901,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,https://linkedin.com/in/neliandersen,https://linkedin.com/in/mikastratton,A,Has more experience 
521,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,https://linkedin.com/in/mikastratton,https://linkedin.com/in/katya-marchenko,A,Has more experience 
