query_id,query,search_rank,docid,reranking_group
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,0,mkbconsulting,3.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,1,george-gj-walley-mba-681b0b73,3.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,2,michael-g-237759150,2.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,3,joeberro,3.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,4,sarahrose-schiftan-60b39b47,2.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,5,michael-hahn-723891,1.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,7,sunny-lee-0bb761165,1.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,8,andrew-shane,2.0
49181,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,9,eric-scharmach-60552a8,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",0,biziosan,1.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",1,bill-streilein-084a78,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",2,mkrugman,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",3,charles-wong-46046826,3.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",4,ckovalik,4.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",5,ramcnaidu,3.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",6,massimiliano-versace-60bb11,4.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",7,heather-ames-versace-58bb487,4.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",8,jconsidi,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",9,anatoli-gorchet-427a0720,4.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,0,ram-yadav-957bb7187,1.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,1,manvirsingh1,3.0
