query,Candidate A,Candidate B,majority_vote,human_majority_comments,human_minority_comments,llm_winner,llm_comment
C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,https://linkedin.com/in/maxas-volodin,https://linkedin.com/in/thomas-h-krause,Pearch.AI,"[""Has more years of experience "", ""fits VP/C-level at scale"", ""Tom is more senior and with a company of 500+ "", ""Candidate B is a US based CEO of a software company of over 500 employees."", ""Tom is the CEO of a software company and Maxas is a CEO of an automation company.""]","[""This was close- winner has more years of experience particularly in the tech industry"", ""Candidate A is currently a VP and candidate B is a chief of operations. "", ""Candidate A - Excellent match.  Candidate B - Lacks yrs. of leadership exp.""]",PeopleGPT,"Profile 1 is a US-based VP at a software company with over 500 employees, meeting the query requirements. Profile 2 is not provided."
COOs from small consumer hardware companies in California,https://linkedin.com/in/kellan-o-connor-1203203,https://linkedin.com/in/martinkloiber,Exa.AI,"[""winner has more years of experience for a consumer hardware company"", ""More years of experience as COO "", ""CA hardware COO vibe"", ""Focuses on hardware design and manufacturing."", ""Candidate A is a COO of a small consumer hardware company in California"", ""Candidate A has more relevant experience. "", ""Candidate A - Perfect match.  Candidate B - Lack of exp.""]","[""Martin is a COO for small consumer hardware companies, and Kellan works for an AI company.""]",LinkedIn,"Profile2 is a better match since he has direct COO experience at Apogee Electronics—a small, consumer electronics (hardware) company based in California—aligning with the search requirements."
"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",https://linkedin.com/in/crystalsorokin,https://linkedin.com/in/lisanicoletaylor,PeopleGPT,"[""winner has more years of experience as a cust success mgr for a SaaS company"", ""strong SF startup fit"", ""Handshake is a b2b SaaS, over 3 years of experience "", ""Lisa has experience in b2b SaaS, startup and healthcare tech experience and Crystal does not have healthcare tech experience."", ""Candidate B - Excellent match.  Candidate A - Less yrs of exp.""]","[""More years of experience as CSM "", ""Candidate A is a customer success manager based in San Francisco with more than three years of experience in varied companies."", ""Candidate A has more relevant experience. ""]",Exa.AI,"Profile 1 meets the requirements with experience in B2B SaaS at a startup (Secureframe) that touches on healthcare compliance (HIPAA), while Profile 2 lacks healthcare tech exposure."
Find me founders of California based tech companies that have from 10 to 300 employees and are currently actively hiring employees. But don't show me recruiters and don't show me those who work for recruitment agencies. Show me only people that currently are founders (and hide the ones that were founders someday but are not founders now.,https://linkedin.com/in/anwar-imani-b3439a27,https://linkedin.com/in/rajaappachi,Pearch.AI,"[""Both candidates are founders- neither one have open jobs at their company.  Winner has more experience and according to his profile is solely focused on his company- the other candidate is also employed as a solutions architect"", ""active CA founder profile"", ""His company is Smashtech, under 300 employees and actively hiring "", ""Candidate A is a California-based founder with less than 300 employees that is currently hiring."", ""Anwar's company, Smashtech is currently hiring and has 50-200 employees."", ""Candidate A - Good match for query.  Candidate B - Not actively hiring. ""]","[""More years of experience "", ""Candidate B has more relevant experience stated on the query. ""]",Exa.AI,"Though neither candidate shows active hiring, Profile 2 is a current founder of a clearly tech-focused, California-based company with an employee count within the required range – a better match than Profile 1."
I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,https://linkedin.com/in/andrew-shane,https://linkedin.com/in/jeffbhuber,LinkedIn,"[""winner previously worked for a health tech startup as head of sales. The other candidate has sales experience but is currently a co founder"", ""LA health tech sales"", ""Led a team of less than 10 people, Head of sales fro Patient POp "", ""Candidate A is currently a director of sales for a health tech startup. "", ""Candidate B - Great match.  Candidate A - Less exp'd.""]","[""More years of experience as a VP"", ""Candidate B is a VP for a health tech company in San Diego, CA and has been in this position since 2015."", ""Jeff is the Head of Sales for a biotech company and Andrew is at a recruitment company/agency.""]",Pearch.AI,"Jeff’s experience as a VP of Sales for over 9 years and his location in the LA region meet the criteria precisely, while Andrew lacks the required VP/Head tenure."
Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,https://linkedin.com/in/marielisa-salas-a06b27267,https://linkedin.com/in/sheryl-lynn-soon-5b274324b,Pearch.AI,"[""neither candidate possess college degrees. winner has more experience as a recruitier than the other candidate.  The other candidate has more admin experience"", ""More years of experience as a recruiter "", ""3 years of experience "", ""Candidate B is an in-house recruiter in San Francisco that has less than three years of work experience."", ""Candidate B has less than 3 years of experience. "", ""Sheryl has been a recruiter for less than 3 years at VC-backed companies and Marielisa is currently an Assistant and not a recruiter.""]","[""fits junior SF recruiter"", ""Candidate A - Closet match to query.  Candidate B - Has only worked remote.""]",PeopleGPT,"Candidate 1 currently serves as a Technical Recruiter at a VC-backed company (JetBridge) in San Francisco, aligning well with the in‐house and VC-backed criteria. Although their total experience is slightly above 3 years, they are a closer match than Candidate 2, whose primary role appears to be agency-based."
VP of Marketing based in LA with strong understandings of data analytics,https://linkedin.com/in/rosekomesar,https://linkedin.com/in/victoriaekwenuke,Pearch.AI,"[""Winner has direct marketing analytics experience.  The other candidate focuses more on events, campaigns, mktg operations"", ""Has more experience "", ""Head of Marketing and Analytics Inclusion"", ""Victoria is currently working as Head of Marketing at Facebook/Meta and Rose was VP of marketing but has been unemployed since 2024."", ""Candidate B - Great match.  Candidate A - Less exp.""]","[""marketing/analytics; Victoria less tied to data focus"", ""Candidate A is a LA based VP of Marketing with analytics experience"", """"]",PeopleGPT,Profile 1 is a clear match since she currently serves as a VP of Marketing in the LA area and her experience explicitly highlights the use of data analytics in driving marketing strategies.
a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,https://linkedin.com/in/chris-song-85897345,https://linkedin.com/in/bingai1985,PeopleGPT,"[""Winner has more perception engineer experience"", ""Has more perception experience "", ""technical experience"", ""Perception software engineer with over 5 years of experience including venture backed company "", ""Candidate A has more relevant experience. "", ""Candidate A - Great match, more extensive background.  Candidate B - Less exp.""]","[""Candidate B is a US based perception engineer with at least five years of experience."", ""Bing has a lot of experience with sensor fusion.""]",LinkedIn,"Profile 2 is a U.S.-based candidate with nearly 9 years’ experience in autonomous perception/ADAS roles. While sensor fusion isn’t explicitly mentioned, his roles (e.g., at Faraday Future and Mytra) and expertise in perception align well with the requirements for a perception engineer at a venture-backed company."
digital marketer manager with experience in the biotech. Only show people from the U.S.,https://linkedin.com/in/alisonmartin,https://linkedin.com/in/glorieroosenberg,Pearch.AI,"[""winner has more years of exp as a digital mktg mgr in the biotech space"", ""More experience in digital marketing "", ""currently working in Crown Bioscience"", ""Gloria is currently the director of digital engagement for a biotech company."", ""Candidate B - Good match, currently works in Biotech.  Candidate A - Lacks yrs of exp in Biotech.""]","[""biotech marketing experience"", ""Candidate A is a digital marketing professional in the US working for a biotech company."", ""Candidate A has more relevant experience. ""]",Exa.AI,"Profile 1 shows extensive digital marketing leadership across multiple biotech companies in the U.S., making her the best match."
digital marketer manager with experience in the biotech. Only show people from the U.S.,https://linkedin.com/in/brooke-stretch-736ba2148,https://linkedin.com/in/niktajaberzadeh,PeopleGPT,"[""winner has more years of experience as a digital marketing mgr."", ""More experience with Biotech"", ""Candidate B has more years of relevant experience than candidate A."", ""Nikta is currently a Senior Marketing Manager for a biotech company and Brooke is a director."", ""Candidate B - Perfect match, currently works in Biotech.  Candidate A - No biotech exp.""]","[""biotech marketing"", ""history of working in the pharmaceutical industry"", ""Candidate A is a digital marketing professional in the US working for a biotech company.""]",Exa.AI,"Profile 1 explicitly holds digital marketing roles (e.g., Digital Marketing Lead and Content Manager) while working in healthcare/pharma (closely related to biotech), and is located in the U.S. Profile 2, although experienced in biotech (Amgen) and oncology, does not emphasize digital marketing management."
product manager social referral and community mechanics in apps. Only show people from the U.S.,https://linkedin.com/in/bradleycollins,https://linkedin.com/in/ahmed-s-hassan,Pearch.AI,"[""winner is a product mgr focused on consumer growth- has more years of experience"", ""More years of experience "", ""PM/social app fit"", ""Candidate A is a US based product manager for ecommerce products."", ""Candidate A has more relevant experience and has more years of experience. "", ""Candidate A - Great match.  Candidate B - Less exp. ""]","[""global referrals product"", ""Ahmed has more about being a social referral on his profile.""]",PeopleGPT,"Profile 2 best fits the query with a strong focus on social referral, incentives, and community/engagement mechanics (as seen with his Coinbase referral program and community work), while both candidates are U.S.-based."
"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",https://linkedin.com/in/vladimir-golskiy-1a379a60,https://linkedin.com/in/sergezak,LinkedIn,"[""More years of experience "", ""Python/Russian tenure; Serge less clear on 7+ years"", ""Candidate A is a US based, Russian speaker python developer with over seven years of experience."", ""Candidate A has 7+ years of experience"", ""Vladimir has more years of Python/backend experience and Serge only has four years and was doing frontend before that.""]","[""winner has 7 years of experience (python)- the other candidate doesn't"", ""7+ years of experience and a python developer"", ""Candidate B - Good match.  Candidate B - Too many short stays at jobs.""]",Exa.AI,"Serge Zak is a clear Python backend specialist with over 11 years of experience, Russian language skills, and a U.S. location, making him a more focused match."
